Wall time,Step,Value
1762447432.864789,360,0.2137604057788849
1762447432.904288,600,1.0693342685699463
1762447432.9356363,792,0.41158172488212585
1762447432.9789412,1056,0.961642324924469
1762447433.0183005,1296,1.479348063468933
1762447433.0393722,1416,2.0157899856567383
1762447433.086981,1704,2.1180849075317383
1762447433.1192904,1896,2.449902057647705
1762447433.1817708,2256,2.335336923599243
1762447433.2069454,2400,2.2652997970581055
1762447433.2572122,2688,2.6710376739501953
1762447433.2828293,2832,2.9860756397247314
1762447433.3269324,3048,3.0200862884521484
1762447433.3605158,3240,3.0963692665100098
1762447433.4045687,3504,3.085374116897583
1762447433.4359784,3696,2.94797682762146
1762447433.4605637,3840,3.546544313430786
1762447433.5002337,4080,3.258432388305664
1762447433.5363333,4296,3.4044229984283447
1762447433.5720665,4512,3.355520486831665
1762447433.6080177,4728,3.31034255027771
1762447433.6475842,4968,3.511566638946533
1762447433.6796308,5160,4.288204669952393
1762447433.7112994,5352,3.942039966583252
1762447433.7474217,5568,3.9378066062927246
1762447433.7674854,5688,3.843365430831909
1762447433.8119063,5952,3.120575428009033
1762447433.8601089,6240,3.2983222007751465
1762447433.9003546,6480,3.3244731426239014
1762447433.9287114,6648,3.6518428325653076
1762447433.9844255,6984,3.6066055297851562
1762447434.020719,7200,3.1993486881256104
1762447434.0455859,7344,2.7386670112609863
1762447434.0815103,7560,2.8807852268218994
1762447434.1225195,7800,2.7699544429779053
1762447434.1620576,8040,2.557925224304199
1762447434.1820247,8160,2.5347177982330322
1762447434.2223098,8400,2.4596023559570312
1762447434.261763,8616,2.4383656978607178
1762447434.2975175,8832,2.158950090408325
1762447434.3379333,9072,2.0826146602630615
1762447434.3814971,9336,2.567974090576172
1762447434.4062753,9480,2.58733868598938
1762447434.4430337,9696,2.8183200359344482
1762447434.4787047,9912,2.853060007095337
1762447434.962588,10104,2.940178871154785
1762447435.1475425,10296,3.120601177215576
1762447435.356547,10536,3.323377847671509
1762447435.5385938,10752,3.2655322551727295
1762447435.7726142,11040,3.606806516647339
1762447435.9619584,11280,3.8921735286712646
1762447436.2503898,11640,3.874251365661621
1762447436.4219358,11856,3.9445152282714844
1762447436.651326,12144,4.254209041595459
1762447436.9167774,12480,4.457730293273926
1762447437.1508243,12768,5.006148815155029
1762447437.3817012,13056,5.797731399536133
1762447437.5908263,13320,5.805706977844238
1762447437.8193433,13608,5.683308124542236
1762447438.006642,13824,4.875567436218262
1762447438.1543307,14016,3.8428566455841064
1762447438.2848613,14184,2.8931221961975098
1762447438.4558895,14400,1.7671403884887695
1762447438.5790665,14544,0.3688921332359314
1762447438.766749,14784,-0.8996967673301697
1762447438.8590598,14904,-2.1728880405426025
1762447439.0448906,15144,-4.033712387084961
1762447439.1973784,15336,-5.137138843536377
1762447439.336381,15504,-5.948140621185303
1762447439.5370984,15768,-6.6826982498168945
1762447439.6115153,15864,-7.108653545379639
1762447439.781739,16080,-7.548053741455078
1762447439.9257581,16248,-7.645904541015625
1762447440.1096497,16488,-7.7241716384887695
1762447440.256211,16680,-7.944525241851807
1762447440.3722782,16824,-7.884815692901611
1762447440.553862,17040,-7.959391117095947
1762447440.7200963,17256,-7.963751316070557
1762447440.8709958,17448,-7.839908599853516
1762447441.1005821,17736,-7.515077590942383
1762447441.2651825,17928,-7.01340389251709
1762447441.6208975,18384,-6.062136173248291
1762447443.0610924,20208,-3.2384116649627686
1762447443.5144928,20784,3.372760534286499
1762447443.9158814,21288,12.318641662597656
1762447444.282622,21768,16.19989776611328
1762447444.6257236,22200,17.73760223388672
1762447445.0380075,22728,17.521818161010742
1762447445.3036592,23064,17.206893920898438
1762447445.854726,23784,16.822072982788086
1762447446.247621,24288,16.514606475830078
1762447447.0322137,25296,15.649029731750488
1762447447.4904783,25872,11.680910110473633
1762447448.3947117,27024,3.8672308921813965
1762447448.7932081,27528,-6.357430934906006
1762447449.0810125,27888,-11.143566131591797
1762447450.0263522,29088,-13.560084342956543
1762447450.4239857,29592,-15.189434051513672
1762447451.135195,30504,-16.378520965576172
1762447451.6819656,31200,-17.450435638427734
1762447452.199748,31848,-18.72101402282715
1762447452.9777946,32808,-20.257699966430664
1762447453.4707358,33480,-20.45061683654785
1762447454.4128795,34680,-21.239503860473633
1762447454.7978468,35160,-22.27155876159668
1762447455.5681558,36120,-23.686737060546875
1762447456.2188504,36912,-25.128095626831055
1762447456.8649344,37704,-25.60964012145996
1762447458.0145397,39144,-25.59347915649414
1762447458.5086968,39768,-25.737585067749023
1762447459.4464777,40968,-24.628128051757812
1762447460.1186514,41832,-24.42363166809082
1762447461.0431545,42960,-23.961606979370117
1762447461.7900505,43872,-23.684206008911133
1762447462.771382,45120,-21.141918182373047
1762447463.497007,46032,-19.34197998046875
1762447464.625529,47424,-17.028202056884766
1762447465.8396354,49032,-14.7933988571167
1762447467.3295608,50928,-7.621452331542969
1762447468.001302,51768,-0.72311931848526
1762447470.006723,54384,4.996109962463379
1762447472.7341404,57768,22.45969009399414
1762447475.5189257,61200,42.304039001464844
1762447480.8526125,67776,73.3301010131836
1762447487.1866522,75552,137.8778839111328
1762447490.5738146,79704,205.66983032226562
1762447492.2844517,81792,263.0235900878906
1762447494.1856687,84144,302.7274169921875
1762447495.735931,86016,337.9813537597656
1762447497.6361747,88320,365.4034118652344
1762447499.5961676,90744,383.68878173828125
1762447501.835498,93552,388.8551330566406
1762447504.089305,96384,388.29669189453125
1762447506.097608,98832,372.97479248046875
1762447507.9802308,101136,320.8477783203125
1762447509.6977048,103224,263.4029846191406
1762447512.4420257,106632,216.79843139648438
1762447514.4954543,109200,197.58908081054688
1762447515.8714342,110976,165.1664581298828
1762447517.61937,113160,154.83123779296875
1762447519.0292923,114912,131.663818359375
1762447520.3604317,116568,112.87776947021484
1762447521.3447864,117792,93.42452239990234
1762447522.800957,119592,89.50569915771484
1762447523.4736443,120432,85.58612823486328
1762447524.4158208,121608,77.96421813964844
1762447525.095728,122448,66.12049102783203
1762447525.903059,123456,45.426048278808594
1762447526.802507,124560,42.557273864746094
1762447527.4112115,125376,19.393835067749023
1762447528.107626,126432,18.068952560424805
1762447528.68486,127128,25.646154403686523
1762447529.762832,128472,23.96672248840332
1762447530.3338175,129192,25.48329734802246
1762447531.3336153,130392,15.564014434814453
1762447533.181579,132672,13.212661743164062
1762447534.8446205,134736,20.865032196044922
1762447536.9634209,137328,27.26337242126465
1762447539.3060749,140208,31.97569465637207
1762447550.1818616,153408,60.88867950439453
1762447556.1054358,160632,155.96029663085938
1762447561.236917,166944,232.33433532714844
1762447565.3376093,171960,283.3414001464844
1762447571.8076763,179904,336.7911376953125
1762447574.3516765,183096,414.08392333984375
1762447576.2676473,185424,453.21893310546875
1762447578.273084,187920,481.2900390625
1762447580.2384026,190344,493.8363952636719
1762447581.6037624,192048,507.04241943359375
1762447583.2599776,194112,487.91241455078125
1762447584.7985177,195984,396.40087890625
1762447586.6917305,198288,319.9073791503906
1762447588.1946747,200136,279.1749267578125
1762447589.0194001,201240,218.25027465820312
1762447590.2573998,202752,150.15835571289062
1762447591.4053044,204144,118.2821044921875
1762447593.6145492,206832,93.46035766601562
1762447594.9941468,208512,80.80061340332031
1762447597.2479026,211272,65.484619140625
1762447598.6803844,213096,71.02411651611328
1762447600.8863657,215856,86.45547485351562
1762447602.6456985,218016,102.5127944946289
1762447604.6855943,220536,110.2637939453125
1762447606.1562176,222360,137.3103790283203
1762447608.3502595,225072,146.7582550048828
1762447610.0597181,227184,157.63088989257812
1762447611.8650606,229560,178.08889770507812
1762447614.1845136,232416,199.72984313964844
1762447616.7421227,235536,223.5769500732422
1762447619.1309283,238440,238.52853393554688
1762447621.4599605,241656,249.60458374023438
1762447624.1616008,244896,250.26170349121094
1762447627.0007913,248208,282.1971435546875
1762447628.41639,249888,285.8512268066406
1762447630.0324945,251856,307.67645263671875
1762447632.0202155,254304,331.98626708984375
1762447633.4651535,256080,332.68035888671875
1762447635.0049367,257952,331.16888427734375
1762447636.9152796,260328,341.0074768066406
1762447638.1279807,262032,345.4775695800781
1762447639.591786,264024,344.064697265625
1762447641.7383134,266880,348.1755676269531
1762447644.284941,270216,330.2373046875
1762447646.347296,272760,332.8221435546875
1762447648.6040833,275640,343.9936828613281
1762447650.4646406,277992,349.8080749511719
1762447653.6652122,281832,355.005859375
1762447656.5200346,285240,375.7991943359375
1762447659.1150143,288312,387.6423034667969
1762447662.145421,291960,405.89532470703125
1762447664.0822904,294336,426.0042724609375
1762447665.928747,296592,451.37371826171875
1762447668.1106818,299256,459.2046203613281
1762447670.6775618,302520,475.2055358886719
1762447672.7253923,305112,470.2322692871094
1762447674.5747652,307392,462.74981689453125
1762447677.0519512,310440,464.40435791015625
1762447678.9815805,312768,455.35382080078125
1762447680.9489167,315168,443.20001220703125
1762447683.7712998,318600,430.3002624511719
1762447686.2003171,321552,425.341552734375
1762447689.0573113,325032,407.31072998046875
1762447690.9487135,327288,406.4167175292969
1762447692.7532058,329448,393.509765625
1762447695.4316611,332688,378.8357849121094
1762447697.7021868,335496,369.58807373046875
1762447699.1184175,337248,361.9644470214844
1762447701.6363935,340392,362.3270263671875
1762447704.3784328,343824,351.14447021484375
1762447706.7200413,346752,347.8436279296875
1762447709.931597,350736,343.314453125
1762447712.5591614,354000,347.8426208496094
1762447715.7221239,357936,361.0136413574219
1762447720.5421116,363912,392.7535095214844
1762447727.2053576,371976,427.7523193359375
1762447733.1720052,379224,471.4717712402344
1762447738.132716,385248,508.6562805175781
1762447741.9626474,389904,526.0206909179688
1762447746.2170281,395136,574.948974609375
1762447750.8543384,400776,600.0859375
1762447756.2259498,407352,631.544677734375
1762447760.191218,412224,653.3612670898438
1762447762.6501114,415128,659.5001220703125
1762447767.4294915,420792,674.1951293945312
1762447772.1995153,426504,648.4488525390625
1762447779.7956352,435696,633.6065063476562
1762447782.825534,439392,639.7459716796875
1762447787.2882223,444984,659.0200805664062
1762447789.8813474,448536,636.9756469726562
1762447792.7112522,452136,651.3728637695312
1762447796.3786783,456816,634.810791015625
1762447798.3432248,459744,627.3920288085938
1762447801.445944,464160,635.8338623046875
1762447803.1484342,466488,605.7645263671875
1762447805.9654744,470064,611.6657104492188
1762447808.186953,472800,607.154052734375
1762447810.979835,476256,571.1099243164062
1762447812.8945265,478608,528.5469360351562
1762447815.1298833,481344,507.57177734375
1762447817.0346825,483672,451.9211120605469
1762447819.0499084,486144,433.6983947753906
1762447821.3724506,488976,398.2646789550781
1762447823.7665746,491904,360.7353515625
1762447826.6908243,495432,358.432861328125
1762447829.1423385,498456,362.81549072265625
1762447832.6638448,502752,343.5227966308594
1762447836.1264992,506928,335.41455078125
1762447842.1134877,514128,351.2192077636719
1762447844.3892004,516888,400.4920654296875
1762447849.6488047,523872,454.1776123046875
1762447852.9153664,527856,516.538330078125
1762447855.9337492,531528,583.630859375
1762447860.1113088,536616,631.2391357421875
1762447863.1785138,540288,669.9521484375
1762447865.9899392,543648,691.4696655273438
1762447870.3509042,549480,723.46923828125
1762447873.0067666,552696,769.8917236328125
1762447875.5820992,556272,829.9754028320312
1762447877.8512642,559032,812.7681884765625
1762447881.7510386,563736,804.8516235351562
1762447883.2995622,565632,780.09423828125
1762447887.0869358,570264,764.2465209960938
1762447888.0662541,571464,746.303466796875
1762447891.7261102,576096,714.342529296875
1762447895.144548,580272,708.1128540039062
1762447898.3821397,584136,710.252685546875
1762447902.2665772,588912,721.4510498046875
1762447905.1773448,592608,702.9239501953125
1762447910.3641078,599040,716.6077880859375
1762447921.4788573,612408,766.2637329101562
