Wall time,Step,Value
1762472899.5687902,5000,329.0
1762472909.8342054,10000,666.0
1762473177.2792106,15000,707.0
1762473444.4520347,20000,742.0
1762473711.859593,25000,777.0
1762473979.9943244,30000,808.0
1762474248.0880146,35000,850.0
1762474517.3763754,40000,888.0
1762474786.4185212,45000,935.0
1762475055.481082,50000,981.0
1762475324.9057646,55000,1047.0
1762475593.214476,60000,1108.0
1762475862.0719583,65000,1165.0
1762476132.3941977,70000,1201.0
1762476402.343679,75000,1235.0
1762476672.6916182,80000,1264.0
1762476942.5195503,85000,1284.0
1762477210.0449758,90000,1307.0
1762477481.1550806,95000,1317.0
1762477752.2949739,100000,1325.0
1762478023.017791,105000,1343.0
1762478294.796578,110000,1399.0
1762478567.172017,115000,1454.0
1762478840.113892,120000,1496.0
1762479111.5467436,125000,1548.0
1762479381.32491,130000,1595.0
1762479652.249611,135000,1639.0
1762479923.327338,140000,1680.0
1762480196.2055786,145000,1722.0
1762480468.3082159,150000,1766.0
1762480740.1386049,155000,1801.0
1762481008.9604418,160000,1834.0
1762481279.8321278,165000,1862.0
1762481551.0642312,170000,1886.0
1762481821.3024664,175000,1904.0
1762482093.005502,180000,1924.0
1762482363.2935328,185000,1943.0
1762482636.0315824,190000,1966.0
1762482908.134616,195000,1988.0
1762483179.3949432,200000,2006.0
1762483451.954631,205000,2022.0
1762483724.5692642,210000,2036.0
1762484000.8297956,215000,2050.0
1762484272.6942499,220000,2068.0
1762484542.9718788,225000,2081.0
1762484814.1575305,230000,2097.0
1762485086.1900527,235000,2114.0
1762485358.521737,240000,2136.0
1762485636.4922652,245000,2152.0
1762485909.3004532,250000,2167.0
1762486180.0743306,255000,2181.0
1762486449.7423596,260000,2192.0
1762486721.6705766,265000,2201.0
1762486994.2908034,270000,2208.0
1762487266.0130424,275000,2214.0
1762487537.4761713,280000,2220.0
1762487810.4656465,285000,2226.0
1762488083.358765,290000,2235.0
1762488354.7924688,295000,2243.0
1762488628.6895518,300000,2251.0
1762488900.8960772,305000,2257.0
1762489172.5077133,310000,2267.0
1762489444.0341318,315000,2273.0
1762489716.767756,320000,2282.0
1762489989.5878723,325000,2292.0
1762490262.1448703,330000,2299.0
1762490532.8827574,335000,2306.0
1762490804.7764752,340000,2313.0
1762491077.2447424,345000,2353.0
1762491350.2920833,350000,2448.0
1762491623.1768012,355000,2531.0
1762491894.4888453,360000,2537.0
1762492167.1577451,365000,2542.0
1762492440.1274686,370000,2547.0
1762492713.5434656,375000,2552.0
1762492986.148772,380000,2557.0
1762493259.4232147,385000,2563.0
1762493535.0402298,390000,2568.0
1762493809.094476,395000,2572.0
1762494082.569063,400000,2578.0
1762494355.389257,405000,2583.0
