Wall time,Step,Value
1762447432.8648236,360,10.0
1762447432.904318,600,20.0
1762447432.9356685,792,30.0
1762447432.9789746,1056,40.0
1762447433.0183318,1296,51.0
1762447433.0394058,1416,60.0
1762447433.087015,1704,70.0
1762447433.1193216,1896,80.0
1762447433.181805,2256,93.0
1762447433.2069767,2400,100.0
1762447433.2572434,2688,112.0
1762447433.282861,2832,122.0
1762447433.3269968,3048,131.0
1762447433.3605473,3240,141.0
1762447433.4046006,3504,150.0
1762447433.4360108,3696,161.0
1762447433.4605968,3840,170.0
1762447433.5002644,4080,180.0
1762447433.5363648,4296,190.0
1762447433.5720975,4512,200.0
1762447433.608051,4728,211.0
1762447433.6476166,4968,221.0
1762447433.679662,5160,230.0
1762447433.7113311,5352,240.0
1762447433.7474535,5568,252.0
1762447433.767518,5688,260.0
1762447433.811937,5952,270.0
1762447433.860141,6240,280.0
1762447433.900388,6480,290.0
1762447433.928743,6648,300.0
1762447433.9844577,6984,311.0
1762447434.0207598,7200,320.0
1762447434.0456176,7344,330.0
1762447434.081543,7560,340.0
1762447434.1225514,7800,352.0
1762447434.16209,8040,360.0
1762447434.182056,8160,370.0
1762447434.2223408,8400,381.0
1762447434.2617955,8616,390.0
1762447434.2975504,8832,400.0
1762447434.337965,9072,410.0
1762447434.3815284,9336,421.0
1762447434.406307,9480,430.0
1762447434.4430656,9696,440.0
1762447434.4787385,9912,450.0
1762447434.9627542,10104,460.0
1762447435.1476743,10296,470.0
1762447435.3566697,10536,480.0
1762447435.5387018,10752,490.0
1762447435.7727237,11040,502.0
1762447435.962068,11280,510.0
1762447436.2504976,11640,521.0
1762447436.4220493,11856,530.0
1762447436.6514404,12144,541.0
1762447436.916891,12480,550.0
1762447437.1509356,12768,560.0
1762447437.3818111,13056,570.0
1762447437.5909407,13320,580.0
1762447437.8194818,13608,593.0
1762447438.0067463,13824,601.0
1762447438.154432,14016,611.0
1762447438.2849684,14184,621.0
1762447438.4559999,14400,631.0
1762447438.5791762,14544,641.0
1762447438.7668552,14784,652.0
1762447438.8591647,14904,660.0
1762447439.0449913,15144,670.0
1762447439.1974838,15336,680.0
1762447439.3364868,15504,691.0
1762447439.5372055,15768,701.0
1762447439.6116214,15864,711.0
1762447439.781876,16080,720.0
1762447439.9258626,16248,731.0
1762447440.1097543,16488,740.0
1762447440.2563164,16680,751.0
1762447440.3723814,16824,760.0
1762447440.5539665,17040,772.0
1762447440.720204,17256,780.0
1762447440.8711052,17448,790.0
1762447441.1006894,17736,800.0
1762447441.2652857,17928,812.0
1762447441.6210005,18384,820.0
1762447443.0612006,20208,830.0
1762447443.5145986,20784,840.0
1762447443.9159868,21288,850.0
1762447444.2827346,21768,860.0
1762447444.6258307,22200,870.0
1762447445.038116,22728,880.0
1762447445.303777,23064,890.0
1762447445.8548331,23784,900.0
1762447446.2477367,24288,910.0
1762447447.0323184,25296,920.0
1762447447.490585,25872,930.0
1762447448.3948185,27024,940.0
1762447448.7933154,27528,950.0
1762447449.0811198,27888,960.0
1762447450.0264564,29088,970.0
1762447450.42409,29592,981.0
1762447451.135302,30504,990.0
1762447451.6820712,31200,1000.0
1762447452.1998527,31848,1010.0
1762447452.9779036,32808,1020.0
1762447453.4708447,33480,1031.0
1762447454.4129884,34680,1040.0
1762447454.7979603,35160,1050.0
1762447455.5682602,36120,1060.0
1762447456.2189615,36912,1070.0
1762447456.8650434,37704,1081.0
1762447458.0146441,39144,1090.0
1762447458.508806,39768,1100.0
1762447459.446585,40968,1110.0
1762447460.1187558,41832,1120.0
1762447461.0432634,42960,1130.0
1762447461.7901702,43872,1140.0
1762447462.7714868,45120,1150.0
1762447463.4971285,46032,1160.0
1762447464.6256382,47424,1171.0
1762447465.839745,49032,1180.0
1762447467.32966,50928,1190.0
1762447468.0014033,51768,1200.0
1762447470.006825,54384,1210.0
1762447472.7342443,57768,1220.0
1762447475.5190265,61200,1230.0
1762447480.852712,67776,1240.0
1762447487.1867585,75552,1247.0
1762447490.5739198,79704,1253.0
1762447492.2845576,81792,1260.0
1762447494.1857712,84144,1268.0
1762447495.7360659,86016,1277.0
1762447497.6362884,88320,1286.0
1762447499.5962706,90744,1296.0
1762447501.8356056,93552,1306.0
1762447504.0894063,96384,1317.0
1762447506.0977154,98832,1326.0
1762447507.9803345,101136,1336.0
1762447509.6978123,103224,1346.0
1762447512.4421308,106632,1356.0
1762447514.4955585,109200,1365.0
1762447515.8715358,110976,1375.0
1762447517.6194751,113160,1385.0
1762447519.029397,114912,1395.0
1762447520.3605347,116568,1405.0
1762447521.344895,117792,1415.0
1762447522.8010595,119592,1425.0
1762447523.473747,120432,1435.0
1762447524.4159281,121608,1445.0
1762447525.0958312,122448,1455.0
1762447525.9031646,123456,1465.0
1762447526.8026133,124560,1476.0
1762447527.411317,125376,1485.0
1762447528.107745,126432,1495.0
1762447528.6849656,127128,1504.0
1762447529.7629342,128472,1515.0
1762447530.3339286,129192,1523.0
1762447531.33372,130392,1533.0
1762447533.1816826,132672,1543.0
1762447534.8447232,134736,1553.0
1762447536.963523,137328,1563.0
1762447539.3061757,140208,1573.0
1762447550.1819675,153408,1582.0
1762447556.1055396,160632,1582.0
1762447561.2370229,166944,1583.0
1762447565.3377137,171960,1590.0
1762447571.8077865,179904,1598.0
1762447574.351787,183096,1604.0
1762447576.2677615,185424,1613.0
1762447578.273189,187920,1622.0
1762447580.2385054,190344,1632.0
1762447581.6038716,192048,1642.0
1762447583.2600482,194112,1651.0
1762447584.7986267,195984,1661.0
1762447586.6918404,198288,1671.0
1762447588.1947768,200136,1681.0
1762447589.0195045,201240,1691.0
1762447590.257471,202752,1701.0
1762447591.405408,204144,1711.0
1762447593.6146548,206832,1721.0
1762447594.9942474,208512,1731.0
1762447597.2480075,211272,1741.0
1762447598.6804588,213096,1751.0
1762447600.8864708,215856,1761.0
1762447602.6458058,218016,1771.0
1762447604.6856992,220536,1781.0
1762447606.1563203,222360,1792.0
1762447608.3503616,225072,1801.0
1762447610.0598197,227184,1811.0
1762447611.8651316,229560,1821.0
1762447614.184616,232416,1831.0
1762447616.7422314,235536,1841.0
1762447619.1310346,238440,1851.0
1762447621.4600651,241656,1861.0
1762447624.161707,244896,1871.0
