Wall time,Step,Value
1762447432.864832,360,10.0
1762447432.9043267,600,20.0
1762447432.9356763,792,30.0
1762447432.9789822,1056,40.0
1762447433.0183396,1296,51.0
1762447433.039414,1416,60.0
1762447433.087023,1704,70.0
1762447433.1193297,1896,80.0
1762447433.181813,2256,93.0
1762447433.2069848,2400,100.0
1762447433.2572515,2688,112.0
1762447433.2828686,2832,122.0
1762447433.327011,3048,131.0
1762447433.360556,3240,141.0
1762447433.4046085,3504,150.0
1762447433.4360187,3696,161.0
1762447433.4606047,3840,170.0
1762447433.5002728,4080,180.0
1762447433.5363727,4296,190.0
1762447433.5721054,4512,200.0
1762447433.6080594,4728,211.0
1762447433.6476247,4968,221.0
1762447433.679671,5160,230.0
1762447433.7113392,5352,240.0
1762447433.7474613,5568,252.0
1762447433.7675264,5688,260.0
1762447433.8119452,5952,270.0
1762447433.8601491,6240,280.0
1762447433.9003968,6480,290.0
1762447433.9287508,6648,300.0
1762447433.9844658,6984,311.0
1762447434.0207705,7200,320.0
1762447434.0456264,7344,330.0
1762447434.081551,7560,340.0
1762447434.12256,7800,352.0
1762447434.1620982,8040,360.0
1762447434.1820636,8160,370.0
1762447434.2223494,8400,381.0
1762447434.2618039,8616,390.0
1762447434.2975585,8832,400.0
1762447434.3379734,9072,410.0
1762447434.3815367,9336,421.0
1762447434.406315,9480,430.0
1762447434.4430735,9696,440.0
1762447434.478747,9912,450.0
1762447434.9627717,10104,460.0
1762447435.1476986,10296,470.0
1762447435.356683,10536,480.0
1762447435.5387137,10752,490.0
1762447435.7727358,11040,502.0
1762447435.9620798,11280,510.0
1762447436.2505095,11640,521.0
1762447436.422061,11856,530.0
1762447436.651453,12144,541.0
1762447436.9169033,12480,550.0
1762447437.150948,12768,560.0
1762447437.3818223,13056,570.0
1762447437.5909526,13320,580.0
1762447437.8194964,13608,593.0
1762447438.0067577,13824,601.0
1762447438.154443,14016,611.0
1762447438.284979,14184,621.0
1762447438.456012,14400,631.0
1762447438.5791879,14544,641.0
1762447438.7668664,14784,652.0
1762447438.859176,14904,660.0
1762447439.0450022,15144,670.0
1762447439.1974952,15336,680.0
1762447439.3364985,15504,691.0
1762447439.5372164,15768,701.0
1762447439.6116323,15864,711.0
1762447439.781891,16080,720.0
1762447439.9258738,16248,731.0
1762447440.109765,16488,740.0
1762447440.2563276,16680,751.0
1762447440.372393,16824,760.0
1762447440.553978,17040,772.0
1762447440.7202153,17256,780.0
1762447440.8711166,17448,790.0
1762447441.100701,17736,800.0
1762447441.265297,17928,812.0
1762447441.6210117,18384,820.0
1762447443.0612113,20208,830.0
1762447443.5146096,20784,840.0
1762447443.9159985,21288,850.0
1762447444.282746,21768,860.0
1762447444.6258419,22200,870.0
1762447445.0381277,22728,880.0
1762447445.3037882,23064,890.0
1762447445.8548446,23784,900.0
1762447446.247748,24288,910.0
1762447447.0323298,25296,920.0
1762447447.4905968,25872,930.0
1762447448.3948298,27024,940.0
1762447448.7933264,27528,950.0
1762447449.0811317,27888,960.0
1762447450.0264678,29088,970.0
1762447450.424101,29592,981.0
1762447451.135313,30504,990.0
1762447451.6820827,31200,1000.0
1762447452.199864,31848,1010.0
1762447452.9779148,32808,1020.0
1762447453.4708562,33480,1031.0
1762447454.4129994,34680,1040.0
1762447454.7979715,35160,1050.0
1762447455.5682716,36120,1060.0
1762447456.2189739,36912,1070.0
1762447456.8650544,37704,1081.0
1762447458.0146556,39144,1090.0
1762447458.5088174,39768,1100.0
1762447459.4465961,40968,1110.0
1762447460.1187665,41832,1120.0
1762447461.0432746,42960,1130.0
1762447461.7901812,43872,1140.0
1762447462.7714982,45120,1150.0
1762447463.4971423,46032,1160.0
1762447464.62565,47424,1171.0
1762447465.8397553,49032,1180.0
1762447467.329671,50928,1190.0
1762447468.001414,51768,1200.0
1762447470.0068357,54384,1210.0
1762447472.7342548,57768,1220.0
1762447475.5190372,61200,1230.0
1762447480.8527224,67776,1240.0
1762447487.1867692,75552,1250.0
1762447490.5739307,79704,1260.0
1762447492.2845685,81792,1270.0
1762447494.1857834,84144,1280.0
1762447495.7360775,86016,1290.0
1762447497.6362998,88320,1300.0
1762447499.596282,90744,1310.0
1762447501.835616,93552,1320.0
1762447504.0894172,96384,1331.0
1762447506.0977263,98832,1340.0
1762447507.980346,101136,1350.0
1762447509.6978233,103224,1360.0
1762447512.4421415,106632,1370.0
1762447514.4955695,109200,1380.0
1762447515.8715465,110976,1390.0
1762447517.619486,113160,1400.0
1762447519.0294082,114912,1410.0
1762447520.3605454,116568,1420.0
1762447521.344907,117792,1430.0
1762447522.8010705,119592,1440.0
1762447523.4737575,120432,1450.0
1762447524.4159389,121608,1460.0
1762447525.0958421,122448,1470.0
1762447525.9031756,123456,1480.0
1762447526.8026245,124560,1491.0
1762447527.411328,125376,1500.0
1762447528.1077566,126432,1510.0
1762447528.6849763,127128,1520.0
1762447529.7629447,128472,1531.0
1762447530.33394,129192,1540.0
1762447531.3337312,130392,1550.0
1762447533.1816938,132672,1560.0
1762447534.844734,134736,1570.0
1762447536.9635336,137328,1580.0
1762447539.3061867,140208,1590.0
1762447550.1819785,153408,1600.0
1762447556.1055505,160632,1610.0
1762447561.2370343,166944,1620.0
1762447565.3377247,171960,1630.0
1762447571.8077974,179904,1640.0
1762447574.3517983,183096,1650.0
1762447576.2677724,185424,1660.0
1762447578.2731996,187920,1670.0
1762447580.2385163,190344,1680.0
1762447581.603883,192048,1690.0
1762447583.2600555,194112,1700.0
1762447584.798638,195984,1710.0
1762447586.6918519,198288,1720.0
1762447588.1947875,200136,1730.0
1762447589.0195153,201240,1740.0
1762447590.2574782,202752,1750.0
1762447591.4054184,204144,1760.0
1762447593.6146657,206832,1770.0
1762447594.994258,208512,1780.0
1762447597.248018,211272,1790.0
1762447598.6804664,213096,1800.0
1762447600.8864818,215856,1810.0
1762447602.6458166,218016,1820.0
1762447604.6857097,220536,1830.0
1762447606.156331,222360,1841.0
1762447608.3503726,225072,1850.0
1762447610.0598311,227184,1860.0
1762447611.8651392,229560,1870.0
1762447614.184627,232416,1880.0
1762447616.7422428,235536,1890.0
1762447619.1310456,238440,1900.0
1762447621.4600759,241656,1910.0
1762447624.1617184,244896,1920.0
1762447627.0009093,248208,1930.0
1762447628.4165075,249888,1940.0
1762447630.0326118,251856,1950.0
1762447632.0203297,254304,1960.0
1762447633.465271,256080,1970.0
