Wall time,Step,Value
1762446364.3744094,360,10.0
1762446364.4302692,600,20.0
1762446364.474243,792,30.0
1762446364.5354002,1056,40.0
1762446364.5927608,1296,51.0
1762446364.6232424,1416,60.0
1762446364.6905422,1704,70.0
1762446364.736683,1896,80.0
1762446364.8207824,2256,93.0
1762446364.8556175,2400,100.0
1762446364.9228914,2688,112.0
1762446364.9571795,2832,122.0
1762446365.008162,3048,131.0
1762446365.05371,3240,141.0
1762446365.1158378,3504,150.0
1762446365.1602507,3696,161.0
1762446365.1949282,3840,170.0
1762446365.250978,4080,180.0
1762446365.3020124,4296,190.0
1762446365.3526292,4512,200.0
1762446365.40342,4728,211.0
1762446365.4595568,4968,221.0
1762446365.506338,5160,230.0
1762446365.5511754,5352,240.0
1762446365.602396,5568,252.0
1762446365.6304858,5688,260.0
1762446365.6932318,5952,270.0
1762446365.7597623,6240,280.0
1762446365.8164387,6480,290.0
1762446365.8561463,6648,300.0
1762446365.9409764,6984,311.0
1762446365.9921343,7200,320.0
1762446366.0267625,7344,330.0
1762446366.077615,7560,340.0
1762446366.1352105,7800,352.0
1762446366.1912053,8040,360.0
1762446366.2194002,8160,370.0
1762446366.2764342,8400,381.0
1762446366.326505,8616,390.0
1762446366.377067,8832,400.0
1762446366.4342792,9072,410.0
1762446366.4960964,9336,421.0
1762446366.5326495,9480,430.0
1762446366.5857196,9696,440.0
1762446366.6365376,9912,450.0
1762446367.2429688,10152,462.0
1762446367.382505,10296,471.0
1762446367.5840826,10536,481.0
1762446367.7227836,10704,490.0
1762446367.924887,10944,501.0
1762446368.1352417,11184,510.0
1762446368.3129137,11400,521.0
1762446368.4713852,11592,530.0
1762446368.643282,11784,540.0
1762446368.8724325,12048,551.0
1762446368.9985366,12168,562.0
1762446369.2842839,12432,570.0
1762446369.4034593,12576,580.0
1762446369.5976195,12816,590.0
1762446369.7548025,13008,601.0
1762446369.955704,13248,610.0
1762446370.1186693,13440,620.0
1762446370.2854402,13632,630.0
1762446370.5696445,13968,642.0
1762446370.7108207,14136,652.0
1762446370.8895795,14352,660.0
1762446371.0946445,14592,670.0
1762446371.3140657,14856,680.0
1762446371.5341883,15120,690.0
1762446371.7369032,15360,701.0
1762446372.038941,15720,711.0
1762446372.2367506,15960,721.0
1762446372.3957093,16152,730.0
1762446372.6962674,16512,740.0
1762446372.891105,16752,751.0
1762446373.2002947,17136,760.0
1762446373.4500916,17448,770.0
1762446373.742333,17808,781.0
1762446373.9768333,18096,790.0
1762446374.247359,18432,800.0
1762446374.539968,18792,811.0
1762446374.923093,19272,820.0
1762446375.1536067,19560,830.0
1762446375.558812,20064,841.0
1762446375.8505793,20424,850.0
1762446376.2174244,20880,860.0
1762446376.7430894,21528,870.0
1762446377.1330214,22008,880.0
1762446377.562479,22536,890.0
1762446378.194202,23328,900.0
1762446378.6438003,23880,910.0
1762446379.3163583,24720,921.0
1762446379.8955724,25440,930.0
1762446380.5645564,26280,940.0
1762446381.0318842,26856,950.0
1762446381.9016867,27912,960.0
1762446382.4377189,28560,971.0
1762446383.1054163,29376,980.0
1762446383.9507735,30408,990.0
1762446384.6020663,31200,1000.0
1762446385.6048777,32424,1010.0
1762446386.652666,33696,1020.0
1762446387.4887116,34680,1030.0
1762446388.7759206,36240,1040.0
1762446389.6408083,37320,1050.0
1762446390.6972647,38592,1060.0
1762446392.151437,40344,1070.0
1762446393.3908162,41832,1080.0
1762446394.555932,43224,1090.0
1762446396.6724665,45816,1101.0
1762446397.757595,47184,1110.0
1762446398.8167875,48480,1120.0
1762446400.8849628,51000,1130.0
1762446403.5532775,54264,1140.0
1762446404.9041567,55920,1150.0
1762446406.7299995,58152,1160.0
1762446409.6982002,61728,1170.0
1762446411.2594523,63768,1180.0
1762446413.1073942,66000,1190.0
1762446415.3790443,68784,1200.0
1762446417.6712558,71592,1210.0
1762446419.8682802,74256,1220.0
1762446421.5694482,76368,1230.0
1762446424.2457097,79680,1240.0
1762446426.0422318,81840,1250.0
1762446429.6525714,86256,1260.0
1762446431.6207309,88680,1271.0
1762446433.3406942,90792,1280.0
1762446436.2313025,94368,1290.0
1762446439.3255532,98160,1299.0
1762446441.9027936,101280,1309.0
1762446444.138805,103920,1319.0
1762446447.5360386,107952,1329.0
1762446448.9183965,109608,1339.0
1762446451.71949,112896,1349.0
1762446453.805473,115440,1359.0
1762446457.2644048,119616,1369.0
1762446460.7661018,123888,1379.0
1762446464.262209,128136,1388.0
1762446466.6439784,130992,1399.0
1762446470.4000058,135552,1408.0
1762446472.21112,137712,1418.0
1762446474.0309885,139920,1428.0
1762446475.2990944,141456,1438.0
1762446478.3269343,145128,1448.0
1762446479.9537714,147072,1458.0
1762446482.0304155,149616,1468.0
1762446484.8724844,153072,1478.0
1762446486.451073,154968,1488.0
1762446488.5727344,157536,1498.0
1762446490.065411,159432,1508.0
1762446492.010828,161856,1518.0
1762446493.77249,164040,1528.0
1762446494.8920846,165432,1538.0
1762446496.7842622,167784,1548.0
1762446498.424585,169800,1559.0
1762446499.87307,171576,1568.0
1762446501.192854,173208,1578.0
1762446503.0985973,175536,1588.0
1762446504.1550412,176856,1598.0
1762446505.8866048,178992,1608.0
1762446506.786279,180048,1618.0
1762446508.266567,181800,1628.0
1762446509.934781,183816,1638.0
1762446510.946743,185040,1648.0
1762446512.5563316,186960,1658.0
1762446513.797731,188448,1668.0
1762446515.1943011,190128,1678.0
1762446516.586129,191856,1688.0
1762446518.0166347,193584,1698.0
1762446519.466486,195312,1708.0
1762446520.8729203,196992,1718.0
1762446521.8674216,198192,1728.0
1762446523.098309,199656,1738.0
1762446524.1993437,201000,1748.0
1762446525.4250474,202536,1758.0
1762446526.947819,204480,1768.0
1762446527.7159889,205560,1778.0
1762446529.5548198,208080,1788.0
1762446530.6134946,209544,1798.0
1762446532.1664875,211656,1808.0
1762446533.4004917,213360,1818.0
1762446534.4001424,215064,1828.0
1762446535.3167627,216576,1838.0
1762446536.3949482,218472,1848.0
1762446537.3347135,220032,1858.0
1762446538.0585608,221232,1868.0
1762446538.948653,222744,1877.0
1762446540.081111,224352,1888.0
1762446540.7708142,225408,1897.0
1762446541.621228,226704,1907.0
1762446542.6309462,228048,1917.0
1762446543.2593346,229008,1927.0
1762446544.207055,230304,1936.0
1762446545.0434818,231432,1946.0
1762446545.916405,232488,1956.0
1762446546.7771587,233520,1966.0
1762446547.505208,234408,1976.0
1762446548.379887,235560,1986.0
1762446549.1013918,236448,1996.0
1762446549.933971,237528,2006.0
1762446550.4898193,238224,2016.0
1762446551.5837889,239592,2026.0
1762446552.2172127,240384,2036.0
1762446552.9858851,241320,2046.0
